title, author, price, rating
"Data Science for Beginners: Comprehensive Guide to Most Important Basics in Data Science","by Alex Campbell",16.44,4.0
"Data Science with Jupyter: Master Data Science skills with easy-to-follow Python examples","by Prateek Gupta",11.73,4.0
"Big Data: A Complete Guide to the Basic Concepts in Data Science, Cyber Security, Analytics and Metrics: 2","by Hans Weber",18.80,3.7
"Data Science: What the Best Data Scientists Know About Data Analytics, Data Mining, Statistics, Machine Learning, and Big Data – That You Don't","by Herbert Jones",20.31,4.0
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control","by Steven L. Brunton and J. Nathan Kutz",99.33,4.6
"Data Analytics for Absolute Beginners: Make Decisions Using Every Variable: (Introduction to Data, Data Visualization, Business Intelligence & Machine Learning) (Python for Data Science Book 2)","by Oliver Theobald",0.00,4.3
"Data Science from Scratch: First Principles with Python","by Joel Grus",62.21,4.5
"Feature Engineering and Selection: A Practical Approach for Predictive Models","by Max Kuhn and Kjell Johnson",124.75,4.5
"Python Data Science Handbook: Essential Tools for Working with Data","by Jake Vanderplas",42.35,4.5
"Data Science on AWS: Implementing End-To-End, Continuous AI and Machine Learning Pipelines","by Chris Fregly",64.21,4.6
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data","by Hadley Wickham",61.06,4.7
"Data Science and Machine Learning: Mathematical and Statistical Methods","by Dirk P. Kroese, Zdravko Botev, et al.",133.40,4.7
"Data Science for Beginners: Comprehensive Guide to Most Important Basics in Data Science","by Alex Campbell",16.44,4.0
"I'M A DATA SCIENTIST EXTRAPOLATION IS MY HOBBY: Funny Data Science Journal Note Book Diary Log Scrap Tracker Gift Present Party Prize 6x9 Inch 100 Pages","by M R F",10.15,
"Machine Learning: The complete Math Guide to Master Data Science with Python and Developing Artificial Intelligence","by Matt Algore",0.00,4.0
"Data: Data Science, Architecture, Visualization, Analytics, Governance, Modeling, Warehousing, Mining, SQL, Structures, Business Analysis, Quality Management, Marketing Strategy & Interview Answers.","by Jerry Ramonyai",0.00,
"Human-Computer Interaction – INTERACT 2021: 18th IFIP TC 13 International Conference, Bari, Italy, August 30 – September 3, 2021, Proceedings, Part I (Lecture Notes in Computer Science Book 12932)","by Carmelo Ardito, Rosa Lanzilotti, et al.",160.65,
"Data Science with Jupyter: Master Data Science skills with easy-to-follow Python examples","by Prateek Gupta",11.73,4.0
"Data Science","by John D. Kelleher",20.25,4.4
"Getting Started with Streamlit for Data Science: Create and deploy Streamlit web applications from scratch in Python","by Tyler Richards",31.56,5.0
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL","by Walter Shields",36.47,4.5
"Amazing Trains: Part 2: A Giant Activity & Coloring Book","by Lindsay Turlan",13.37,
"Python for Data Science: A Guide to Learn in Depth How to Use This Programming Language to Reorder Data While Remaining Focused on Your Specific Purposes.","by Dylan Penny",22.58,4.8
"Python For Beginners: Learn From Scratch the Most Used Programming Language of the Moment in Just 15 Days.","by Dylan Penny",23.36,4.0
"Data Science: What the Best Data Scientists Know About Data Analytics, Data Mining, Statistics, Machine Learning, and Big Data – That You Don't","by Herbert Jones",20.31,4.0
"Machine Learning With Python For Beginners: A Step-By-Step Guide with Hands-On Projects (Learn Coding Fast with Hands-On Project Book 7)","by Jamie Chan",0.00,5.0
"Data Visualization with Python for Beginners: Visualize Your Data using Pandas, Matplotlib and Seaborn","by AI Publishing",19.79,4.0
"Dr Karl's Little Book of Climate Change Science","by Dr. Karl Kruszelnicki",7.99,4.6
"Deep Learning Crash Course for Beginners with Python: Theory and Applications of Artificial Neural Networks, CNN, RNN, LSTM and Autoencoders using ... with Solutions and Hands-On Projects","by AI Publishing",27.19,3.8
"The Data Science Handbook: Advice and Insights from 25 Amazing Data Scientists","by Carl Shan, William Chen, et al.",46.06,4.5
"Data Science and Big Data Analytics: Discovering, Analyzing, Visualizing and Presenting Data","by EMC Education Services",63.75,4.3
"Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python","by Peter Bruce",57.00,4.6
"Storytelling with Data: A Data Visualization Guide for Business Professionals","by Cole Nussbaumer Knaflic",37.80,4.6
"Practical Data Science with R","by John Mount and Nina Zumel",75.65,4.6
"Bayesian Data Analysis","by Andrew Gelman, John B. Carlin, et al.",129.71,4.7
